Code,Description,Category,CreatedAt
NT001,Can't Open Adapter,RF Test Function Issue,2026-04-29
NT002,Configure File Initial Fail,RF Test Function Issue,2026-04-29
NT003,Crystal Calibration Fail,RF Test Function Issue,2026-04-29
NT004,Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT005,11A Power Calibration Fail,RF Test Function Issue,2026-04-29
NT006,11B Power Calibration Fail,RF Test Function Issue,2026-04-29
NT007,11G Power Calibration Fail,RF Test Function Issue,2026-04-29
NT008,5GHz Power Calibration Fail,RF Test Function Issue,2026-04-29
NT009,2.4GHz Power Calibration Fail,RF Test Function Issue,2026-04-29
NT010,11A TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT011,11B TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT012,11G TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT013,5GHz 11N 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT014,5GHz 11N 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT015,2.4GHz 11N 20MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT016,2.4GHz 11N 40MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT017,11A TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT018,11B TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT019,11G TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT020,5GHz 11N 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT021,5GHz 11N 40MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT022,2.4GHz 11N 20MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT023,2.4GHz 11N 40MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT024,11A Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT025,11B Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT026,11G Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT027,5GHz 11N 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT028,5GHz 11N 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT029,2.4GHz 11N 20MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT030,2.4GHz 11N 40MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT031,11A TX PER Test Fail,RF Test Function Issue,2026-04-29
NT032,11B TX PER Test Fail,RF Test Function Issue,2026-04-29
NT033,11G TX PER Test Fail,RF Test Function Issue,2026-04-29
NT034,5GHz 11N 20MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT035,5GHz 11N 40MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT036,2.4GHz 11N 20MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT037,2.4GHz 11N 40MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT038,11A RX FER Test Fail,RF Test Function Issue,2026-04-29
NT039,11B RX FER Test Fail,RF Test Function Issue,2026-04-29
NT040,11G RX FER Test Fail,RF Test Function Issue,2026-04-29
NT041,5GHz 11N 20MHz RX FER Test Fail,RF Test Function Issue,2026-04-29
NT042,5GHz 11N 40MHz RX FER Test Fail,RF Test Function Issue,2026-04-29
NT043,2.4GHz 11N 20MHz RX FER Test Fail,RF Test Function Issue,2026-04-29
NT044,2.4GHz 11N 40MHz RX FER Test Fail,RF Test Function Issue,2026-04-29
NT045,11A RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT046,11B RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT047,11G RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT048,5GHz 11N 20MHz RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT049,5GHz 11N 40MHz RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT050,2.4GHz 11N 20MHz RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT051,2.4GHz 11N 40MHz RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT052,Start TX Carrier Fail,RF Test Function Issue,2026-04-29
NT053,Start TX Continue Fail,RF Test Function Issue,2026-04-29
NT054,Start TX Frames Fail,RF Test Function Issue,2026-04-29
NT055,Start RX Fail,RF Test Function Issue,2026-04-29
NT056,2.4GHz TX Throughput Test Fail,RF Test Function Issue,2026-04-29
NT057,2.4GHz RX Throughput Test Fail,RF Test Function Issue,2026-04-29
NT058,Command Line Fail,RF Test Function Issue,2026-04-29
NT059,Client Is Terminated By User,RF Test Function Issue,2026-04-29
NT060,Server Is Terminated By User,RF Test Function Issue,2026-04-29
NT061,RX Test Fail,RF Test Function Issue,2026-04-29
NT062,RX FER Test Fail,RF Test Function Issue,2026-04-29
NT063,RX RSSI Test Fail,RF Test Function Issue,2026-04-29
NT064,5GHz TX Throughput Test Fail,RF Test Function Issue,2026-04-29
NT065,5GHz RX Throughput Test Fail,RF Test Function Issue,2026-04-29
NT066,2.4GHz Crystal Calibration Fail,RF Test Function Issue,2026-04-29
NT067,5GHz Crystal Calibration Fail,RF Test Function Issue,2026-04-29
NT068,Set PA Parameter Fail,RF Test Function Issue,2026-04-29
NT069,5GHz 11AC 80MHz TX Power Verify Fail,RF Test Function Issue,2026-04-29
NT070,5GHz 11AC 80MHz TX EVM Test Fail,RF Test Function Issue,2026-04-29
NT071,5GHz 11AC 80MHz Spectral Mask Test Fail,RF Test Function Issue,2026-04-29
NT072,5GHz 11AC 80MHz TX PER Test Fail,RF Test Function Issue,2026-04-29
NT073,5GHz 11AC 80MHz RX PER Test Fail,RF Test Function Issue,2026-04-29
NT074,11B Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT075,11G Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT076,11A Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT077,2.4GHz 11N 20MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
NT078,2.4GHz 11N 40MHz Frequency Accuracy Fail,RF Test Function Issue,2026-04-29
